id,"name","powerstats__intelligence","powerstats__strength","powerstats__speed","powerstats__durability","powerstats__power","powerstats__combat","biography__full-name","biography__alter-egos","biography__aliases__001","biography__place-of-birth","biography__first-appearance","biography__publisher","biography__alignment","appearance__gender","appearance__race","appearance__height__001","appearance__height__002","appearance__weight__001","appearance__weight__002","appearance__eye-color","appearance__hair-color","work__occupation","work__base","connections__group-affiliation","connections__relatives","biography__aliases__002",biography__aliases__003,biography__aliases__004,biography__aliases__005,biography__aliases__006,"biography__aliases__007","biography__aliases__008","biography__aliases__009","biography__aliases__010","biography__aliases__011","biography__aliases__012","biography__aliases__013","biography__aliases__014","biography__aliases__015","biography__aliases__016","biography__aliases__017","biography__aliases__018","biography__aliases__019","biography__aliases__020"
59,"Aztar","null","98","null","null","null","null","Aztar","Spectre","Spirit of Vengeance","-","More Fun Comics #52 (February 1940)","Spectre","good","Male","null","-","0 cm","- lb","0 kg","-","-","-","-","The Presence","-",,,,,,,,,,,,,,,,,,,
60,"Bane","88","38","23","56","51","95",,"No alter egos found.","-","-","Batman: Vengeance of Bane #1 (January, 1993)","DC Comics","bad","Male","Human","6'8","203 cm","400 lb","180 kg","-","-","-","Santa Prisca","Suicide Squad, The Secret Society of Super Villains","King Snake (father)",,,,,,,,,,,,,,,,,,,
61,"Banshee","50","10","58","40","63","70","Sean Cassidy","No alter egos found.","Death","Cassidy Keep, Ireland","X-Men #28 (January, 1967)","Marvel Comics","good","Male","Human","6'0","183 cm","170 lb","77 kg","Green","Strawberry Blond","Currently founder and director of operation for X-Corps, formerly Adventurer and Headmaster at the Massachusetts Academy, in charge of Generation X, Interpol Inspector and Agent, freelance detective, professional criminal, involuntary operative for Factor","Muir Island, off the coast of Scotland. formerly Massachusetts Academy; Xavier Institute","Currently X-Corps, formerly Generation X, Factor Three, X-Men","Maeve Rourke Cassidy (wife, deceased), Thomas (Black Tom, cousin), Theresa Rourke (Siryn, daughter)",,,,,,,,,,,,,,,,,,,
62,"Bantam","25","53","23","54","21","56","Roberto Velasquez","No alter egos found.","-","-","Civil War: Front Line #3 (September, 2006)","Marvel Comics","good","Male","null","5'5","165 cm","119 lb","54 kg","Brown","Black","Adventurer, boxing trainer, former boxer","-","Captain America, Pro-Registration forces","-",,,,,,,,,,,,,,,,,,,
63,"Batgirl","88","11","33","40","34","90","Barbara Gordon","Oracle","Oracle","-","Detective Comics #359","Oracle","good","Female","Human","5'7","170 cm","126 lb","57 kg","Green","Red","-","Gotham City, formerly Metropolis, Platinum Flats","-","James Gordon (father) � Barbara Eileen (mother) � James Gordon, Jr. (brother)","Bluebelle",,,,,,,,,,,,,,,,,,
64,"Batgirl","null","27","null","null","null","null","Mary Elizabeth Kane","Hawkfire","Bette Kane","-","Batman #139","Hawkfire","good","Female","null","-","0 cm","- lb","0 kg","-","-","Crime-fighter","Gotham City","Former associated partner of Batman and Robin of Earth-One; Partner of Katherine Kane","Katherine Kane (Batwoman I,  Aunt)","Bat-Girl",,,,,,,,,,,,,,,,,,
65,"Batgirl III","null","43","null","null","null","null","Helena Rosa Bertinelli","Huntress","-","-","-","Huntress","good","Female","null","-","0 cm","- lb","0 kg","-","-","-","-","-","-",,,,,,,,,,,,,,,,,,,
66,"Batgirl IV","69","12","27","56","46","100","Cassandra Cain","No alter egos found.","Kasumi","League of Assassins (exact base is unknown)","Batman: Legends of the Dark Knight #120","DC Comics","good","Female","Human","5'5","165 cm","115 lb","52 kg","Green","Black","-","Gotham City; Bl�dhaven; Tibet; New York City","Titans East, League of Assassins, Batman Family, Justice League Elite, Young Justice","David Cain (father), Lady Shiva (mother), Carolyn (aunt, deceased), Annalea (sibling, deceased), 'The Mad Dog' (sibling)","various mundane persona,",,,,,,,,,,,,,,,,,,
67,"Batgirl V","null","null","null","null","null","null","Charlotte Gage-Radcliffe","Misfit","-","-","-","Misfit","good","Female","null","-","0 cm","- lb","0 kg","-","-","-","-","-","-",,,,,,,,,,,,,,,,,,,
68,"Batgirl VI","75","10","23","28","22","80","Stephanie Brown","Spoiler","Steph","-","Detective Comics #647. As Batgirl in Batgirl (Volume 3) #1. (2009)","Spoiler","good","Female","null","5'6","168 cm","135 lb","61 kg","Blue","Blond","College student at Gotham University","Gotham Heights, Gotham City","The Batman Family, formerly the Birds of Prey, Tim Drake (on-and-off boyfriend)","Arthur Brown (The Cluemaster, father), Crystal Brown (mother), unnamed daughter (given up for adoption)","Robin",Marion Todd,Spoiler,,,,,,,,,,,,,,,,
69,"Batman","81","40","29","55","63","90","Terry McGinnis","No alter egos found.","Batman II","Gotham City, 25th Century","Batman Beyond #1","DC Comics","good","Male","Human","5'10","178 cm","170 lb","77 kg","Blue","Black","-","21st Century Gotham City","Batman Family, Justice League Unlimited","Bruce Wayne (biological father), Warren McGinnis (father, deceased), Mary McGinnis (mother), Matt McGinnis (brother)","The Tomorrow Knight",The second Dark Knight,The Dark Knight of Tomorrow,Batman Beyond,,,,,,,,,,,,,,,
70,"Batman","100","26","27","50","47","100","Bruce Wayne","No alter egos found.","Insider","Crest Hill, Bristol Township; Gotham County","Detective Comics #27","DC Comics","good","Male","Human","6'2","188 cm","210 lb","95 kg","blue","black","Businessman","Batcave, Stately Wayne Manor, Gotham City; Hall of Justice, Justice League Watchtower","Batman Family, Batman Incorporated, Justice League, Outsiders, Wayne Enterprises, Club of Heroes, formerly White Lantern Corps, Sinestro Corps","Damian Wayne (son), Dick Grayson (adopted son), Tim Drake (adopted son), Jason Todd (adopted son), Cassandra Cain (adopted ward)\nMartha Wayne (mother, deceased), Thomas Wayne (father, deceased), Alfred Pennyworth (former guardian), Roderick Kane (grandfather, deceased), Elizabeth Kane (grandmother, deceased), Nathan Kane (uncle, deceased), Simon Hurt (ancestor), Wayne Family","Matches Malone",,,,,,,,,,,,,,,,,,
71,"Batman II","88","11","33","28","36","100","Dick Grayson","Nightwing, Robin","Dick Grayson","-","-","Nightwing","good","Male","Human","5'10","178 cm","175 lb","79 kg","Blue","Black","-","Gotham City; formerly Bludhaven, New York City","Justice League Of America, Batman Family","John Grayson (father, deceased), Mary Grayson (mother, deceased), Bruce Wayne / Batman (adoptive father), Damian Wayne / Robin (foster brother), Jason Todd / Red Hood (adoptive brother), Tim Drake / Red Robin (adoptive brother), Cassandra Cain / Batgirl IV (adoptive sister)",,,,,,,,,,,,,,,,,,,
72,"Battlestar","50","53","35","74","48","74","Lemar Hoskins","No alter egos found.","Bucky","Chicago, Illinois","Captain America #323 (1986); (as Bucky)","Marvel Comics","good","Male","null","6'6","198 cm","295 lb","133 kg","Brown","Black","Former wrestler, federal operative","-","Formerly Wild Pack, Bold Urban Commandos (Buckies), former partner of U.S.Agent, operative of the Commission on Superhuman Activities","-",,,,,,,,,,,,,,,,,,,
73,"Batwoman V","81","8","29","25","27","80","Katherine Rebecca Kane","No alter egos found.","-","-","52 #7 (June, 2006)","DC Comics","good","Female","Human","5'10","178 cm","- lb","0 kg","Green","Red","-","Gotham City","Batman Family (unofficially), D.E.O, Unknowns","Jacob Kane (father), Gabi Kane (mother; deceased), Beth Kane (twin sister), Mary Elizabeth ""Bette"" Kane (cousin), Catherine Hamilton-Kane (stepmother), Philip Kane (uncle), Kane Family",,,,,,,,,,,,,,,,,,,
74,"Beak","null","null","null","null","null","null","Barnell Bohusk","No alter egos found.","Blackwing","Cheverly, Maryland","-","Marvel Comics","good","Male","null","5'9","175 cm","140 lb","63 kg","Black","White","-","-","Formerly New Warriors, Exiles, Brotherhood Of Mutants, Xavier Institute Student Body","Charles (father), Kathy (mother), Angel Salvadore (wife), Tito (son), Axel (son), Kara (daughter), three unidentified children",,,,,,,,,,,,,,,,,,,
75,"Beast","94","48","38","60","43","85","Henry Philip McCoy","No alter egos found.","Dr. McCoy","Dunfee, Illinois","X-MEN Vol. 1 #1, (in furry ape form) AMAZING ADVENTURES #11, (in current feline form) NEW X-MEN Vol. 1 #114","Marvel Comics","good","Male","Mutant","5'11","180 cm","402 lb","181 kg","Blue","Blue","Biochemist, formerly Xavier Institute for Higher Learning science and math Instructor, mutant activist, college lecturer, researcher, professional wrestler","Xavier Institute, Salem Center, Westchester County, New York","Secret Avengers, S.W.O.R.D.; formerly X-Men (founding member); X-Club (founding member); Initiative; 198; X-Treme X-Men; Acolytes (while mind-controlled); Queen's Vengeance; X-Factor/X-Terminators (founding member); Rejects; Defenders, Avengers","Sadie McCoy (paternal grandmother), Norton McCoy (father), Edna McCoy (mother), Robert McCoy (paternal great-uncle), John McCoy (uncle)","Hanko",Kreature,Mutate #666,Magilla Gorilla,Golden Armed Boy,,,,,,,,,,,,,,
76,"Beast Boy","50","28","50","70","79","40","Garfield Mark Logan","No alter egos found.","Changeling","-","Doom Patrol #99 (November, 1965)","DC Comics","good","Male","Human","5'8","173 cm","150 lb","68 kg","Green","Green","Adventurer, Struggling Actor","Prague; formerly Hollywood, California; formerly Manhattan, New York","Teen Titans; former member of the original Doom Patrol, Titans West","Mark Logan (father, deceased), Marie Logan (mother, deceased), Steve Dayton/Mento (adoptive father), Rita Farr/Elasti-Girl (adoptive mother), Matt Logan (cousin)","Beast-Brat",Green Jeans,Salad-head,Sprout,Tork,"Craig Logan",,,,,,,,,,,,,
77,"Beetle","null","54","null","null","null","null",,"No alter egos found.","-","-","-","Marvel Comics","bad","Male","null","-","0 cm","- lb","0 kg","-","-","-","-","-","-",,,,,,,,,,,,,,,,,,,
78,"Ben 10","10","7","8","10","90","40","Benjamin Kirby Tennyson","No alter egos found.","Ben Ten","-","Ben 10 S01E01","DC Comics","good","Male","null","-","0 cm","- lb","0 kg","-","-","-","-","-","-",,,,,,,,,,,,,,,,,,,
79,"Beta Ray Bill","63","80","35","95","100","84","Beta Ray Bill (translation of his Korbinite name)","No alter egos found.","Beta Ray Thor","Burning Galaxy","Thor #337","Marvel Comics","good","Male","null","6'7","201 cm","480 lb","216 kg","-","No Hair","Guardian of the Korbinite race","currently New York City, formerly Asgard, formerly the fleet of Korbinite ships.","ally of the Asgardians, Thor Corps, Star Masters","-","Simon Walters",,,,,,,,,,,,,,,,,,
80,"Beyonder","100","100","100","100","100","84",,"No alter egos found.","Ataxi","Created in the Beyond","Marvel Super-Heroes Secret Wars #1","Marvel Comics","good","Male","God / Eternal","-","0 cm","- lb","0 kg","-","-","Former student","-","Was once in a merged form with the Molecule Man but is no longer merged with him.","-","The Beyond Realm",Frank,Goblin Force,Goblin King,Goblyn King,"Goblin Queen","The One From Beyond","God","Kosmos","Maker",,,,,,,,,
81,"Big Barda","88","100","79","100","100","100","Barda Free","No alter egos found.","Barda","-","Mister Miracle (Volume 1) #4","DC Comics","bad","Female","New God","6'2","188 cm","300 lb","135 kg","Blue","Black","-","Gotham City, New Genesis, formerly Apokolips","Apocalypse, New Gods, Birds of Prey, formerly Female Furies, formerly Justice League of America","Big Breeda (mother), Scott Free (Mister Miricle, husband), Highfather Izaya (father-in-law, deceased)","the Strongest Woman in the World",,,,,,,,,,,,,,,,,,
82,"Big Daddy","38","10","12","32","22","64","Damon Macready","No alter egos found.","-","-","Kick-Ass #4","Icon Comics","good","Male","null","-","0 cm","- lb","0 kg","-","-","-","-","-","Hit-Girl (daughter)",,,,,,,,,,,,,,,,,,,
83,"Big Man","75","12","23","28","19","70","Frederick Foswell","No alter egos found.","Patch","-","Amazing Spider-Man # 10 (1964)","Marvel Comics","bad","Male","null","5'5","165 cm","157 lb","71 kg","Blue","Brown","Reporter, professional criminal","-","Daily Bugle, the Enforcers","Janice Foswell (daughter), unnamed wife",,,,,,,,,,,,,,,,,,,
84,"Bill Harken","63","36","33","60","27","40",,"No alter egos found.","-","-","-","SyFy","good","Male","Alpha","-","0 cm","- lb","0 kg","-","-","-","-","Alphas","-",,,,,,,,,,,,,,,,,,,
85,"Billy Kincaid","null","null","null","null","null","null","Billy Kincaid","No alter egos found.","-","-","Spawn #5 (October 1992)","Image Comics","bad","Male","null","-","0 cm","- lb","0 kg","-","-","-","-","-","-",,,,,,,,,,,,,,,,,,,
86,"Binary","null","null","null","null","null","null","Carol Danvers","Captain Marvel, Warbird","Ms. Marvel","Boston, Massachusetts","(as Carol Danvers) MARVEL SUPER HEROES #13, (as Ms. Marvel) MS. MARVEL #1, (as Binary) X-MEN # 164, AVENGERS Vol. 3, # 4","Captain Marvel","good","Female","null","5'11","180 cm","120 lb","54 kg","Blue","Blond","Former National Aeronautics and Space Administration security Chief, former magazine editor, former freelance writer, former military intelligence officer.","Avengers Mansion","currently Avengers, former companion to the X-Men (as Carol Danvers), former member of the Starjammers (as Binary), Former Avenger (as Ms. Marvel)","Joseph (father), Marie (mother), Steve (brother, deceased),","Binary",,,,,,,,,,,,,,,,,,
87,"Bionic Woman","56","37","33","40","20","40","Jamie Sommers","No alter egos found.","Clarissa Whyte","-","-",,"good","Female","Cyborg","-","0 cm","- lb","0 kg","Blue","Black","-","-","-","-",,,,,,,,,,,,,,,,,,,
88,"Bird-Brain","25","10","35","28","21","42",,"No alter egos found.","Bird-Boy","-","The New Mutants #56 (October, 1987)","Marvel Comics","good","-","null","-","0 cm","- lb","0 kg","-","-","-","-","New Mutants, Ani-Mate","-",,,,,,,,,,,,,,,,,,,
89,"Bird-Man","null","null","null","null","null","null","Henry Hawk","No alter egos found.","-","-","Daredevil #10 (October, 1965)","Marvel Comics","bad","Male","Human","-","0 cm","- lb","0 kg","-","-","-","-","Ani-Men","-",,,,,,,,,,,,,,,,,,,
90,"Bird-Man II","null","null","null","null","null","null","Achille DiBacco","No alter egos found.","-","The Bar with No Name, Medina County, Ohio","Daredevil #157 (March, 1979)","Marvel Comics","bad","Male","Human","-","0 cm","- lb","0 kg","-","-","-","-","Ani-Men","-",,,,,,,,,,,,,,,,,,,
91,"Birdman","null","35","null","null","null","null","Ray Randal","No alter egos found.","Bird-Man","-","Birdman and the Galaxy Trio (1967)","Hanna-Barbera","good","Male","God / Eternal","-","0 cm","- lb","0 kg","-","-","-","-","-","-","Harvey Birdman",Ray Randal,Harvey Birdman Attorney at Law,Harry,Henry,"Birdbath","Bootyliciuos",,,,,,,,,,,,
92,"Bishop","63","14","23","75","100","65","Lucas Bishop","No alter egos found.","Archbishop","A mutant relocation camp in an undisclosed location on an alternate 21st Century Earth","Uncanny X-Men #282 (November, 1991)","Marvel Comics","good","Male","Mutant","6'6","198 cm","275 lb","124 kg","Brown","No Hair","(current) Adventurer, (former) Commander in the XSE (Xavier's Security Enforcers)","Formerly Xavier Institute for Higher Learning, Salem Center, Westchester County, New York","""Clean City""; formerly Stryfe; X-Men; X.S.E. (Storm's team); X-Treme X-Men; X.S.E. (Hecate'e's team); The Twelve","Burnum Bishop (father, deceased), Kadee Bishop (mother, deceased), Shard (sister, deceased), unnamed grandmother, Gateway (great-grandfather), Aliyah Bishop (alternate reality daughter);",,,,,,,,,,,,,,,,,,,
93,"Bizarro","38","95","100","100","100","85","Bizarro","No alter egos found.","-","-","Superboy Vol. 1 #68 (1958)","DC Comics","neutral","Male","Bizarro","6'3","191 cm","345 lb","155 kg","Black","Black","-","Bizarro World","Superman Revenge Squad; Bizarros of Bizarro World; former associate of the Secret Society of Super-Villains; Joker League of Anarchy; former partner of Batzarro","Bizarro-Lois No. 1 (wife, Pre-Crisis only), Bizarro, Jr. (son, Pre-Crisis only), Bizarro-Lois, Jr. (daughter, Pre-Crisis only)",,,,,,,,,,,,,,,,,,,
94,"Black Abbott","null","null","null","null","null","null",,"No alter egos found.","Lord Abbott","-","Marvel Team Up #146 (1984)","Marvel Comics","bad","Male","null","-","0 cm","- lb","0 kg","Red","Black","Cult leader, former monk","-","-","-",,,,,,,,,,,,,,,,,,,
95,"Black Adam","88","100","92","100","100","56","Teth-Adam","No alter egos found.","Hassan Bari","Kahndaq, Egypt","Marvel Family #1 (December, 1945)","DC Comics","bad","Male","null","6'3","191 cm","250 lb","113 kg","Brown","Black","-","Mobile; Formerly Kahndaq; Fawcett City; New York City","None; Formerly the Black Marvel Family, Society of Villains, Injustice Society, Justice Society of America","Shiruta (wife, deceased), Gon and Hurut (sons, deceased) Theo Adam (descendant, currently in control of his body), Sarah Primm (descendant, Theo's sister), Adrianna Tomaz (wife. deceased), Amon Tomaz (brother-in-law, deceased)","Theo Adam",Mighty Adam,Khem-Adam,,,,,,,,,,,,,,,,
96,"Black Bolt","75","67","100","84","100","56","Blackagar Boltagon","No alter egos found.","-","Attilan, Atlantic Ocean","Fantastic Four #45 (December, 1965)","Marvel Comics","good","Male","Inhuman","6'2","188 cm","210 lb","95 kg","Blue","Black","King of the Inhumans","Attilan, Blue Area of the Moon","Universal Inhumans; Inhuman Royal Family; formerly Illuminati","Medusa (wife and first cousin), Ahura (son), Agon (father, deceased), Rynda(mother, deceased), Maximus (brother), Crystal (sister-in-law), Gorgon, Karnak, Triton (cousins)",,,,,,,,,,,,,,,,,,,
97,"Black Canary","63","8","33","20","52","80","Laurel Lance","No alter egos found.","Dinah Laurel Lance Queen; Dinah Laurel Lance-Windrow","-","Justice League of America (Volume 1) #75","DC Comics","good","Female","Metahuman","5'7","170 cm","130 lb","59 kg","Blue","Blond","Detective/Crime-fighter, Chairperson of the Justice League of America; former florist, judo instructor","Formerly Oracle's clock tower in Gotham City; formerly Seattle, Washington; formerly Star City, California; formerly New York City, New York (as a member of the JSA); currently mobile","Birds of Prey; formerly Justice League of America, Justice Society of America, Justice League Task Force, Justice League International, Team Arrow","Larry Lance (father, deceased), Dinah Drake Lance (Black Canary, mother, deceased); Oliver Queen (Green Arrow, husband); Craig Windrow (ex-husband); Sin (adoptive daughter)",,,,,,,,,,,,,,,,,,,
